Product Number,Product Name,Status
602.797.25,,TRUE
301.752.77,,TRUE
901.636.91,,TRUE
701.636.92,,TRUE
702.829.49,,TRUE
902.783.62,,TRUE
002.829.43,,TRUE
802.179.77,,TRUE
804.808.59,,TRUE
404.154.51,,TRUE
604.834.39,,TRUE
004.838.09,,TRUE
604.838.06,,TRUE
304.735.59,,TRUE
904.735.61,,TRUE
404.735.30,,TRUE
904.838.00,,TRUE
204.735.50,,TRUE
904.735.42,,TRUE
304.834.50,,TRUE
194.221.99,,TRUE
304.854.25,,TRUE
204.735.45,,TRUE
704.834.53,,TRUE
304.735.35,,TRUE
704.861.40,,TRUE
004.735.51,,TRUE
404.735.49,,TRUE
104.806.12,,TRUE
504.735.39,,TRUE
401.581.35,,TRUE
803.902.41,,TRUE
004.629.96,,TRUE
120.45.483,,FALSE
201.690.74,,TRUE
402.096.44,,FALSE
304.813.90,,TRUE
004.813.82,,TRUE
704.813.74,,TRUE
094.082.45,,TRUE
002.120.02,,FALSE
202.851.39,,TRUE
702.142.86,,TRUE
602.191.85,,TRUE
902.191.79,,TRUE
902.259.29,,TRUE
002.179.76,,TRUE
702.535.36,,TRUE
102.535.39,,FALSE
502.535.37,,TRUE
104.395.66-2,,FALSE
104.349.98-1,,FALSE
302.405.03,,FALSE
403.554.47,,FALSE
194.176.97,,TRUE
804.651.42,,FALSE
302.074.00,,TRUE
604.058.42,,TRUE
990.674.97,,TRUE
002.799.45,,FALSE
690.462.32,,TRUE
302.799.44,,FALSE
903.530.16,,TRUE
303.610.24,,TRUE
702.400.30,,TRUE
502.586.72,,TRUE
302.586.68,,TRUE
603.210.22,,TRUE
902.400.34,,TRUE
702.694.29,,FALSE
802.694.24,,FALSE
290.304.74,,TRUE
890.304.71,,TRUE
802.120.03,,TRUE
302.120.05,,TRUE
702.816.57,,TRUE
703.384.23,,TRUE
603.384.28,,TRUE
003.384.26,,TRUE
203.384.25,,TRUE
003.384.31,,TRUE
403.384.34,,TRUE
603.384.33,,TRUE
105.029.92,,TRUE
701.477.58,,TRUE
505.400.82,,TRUE
003.724.58,,TRUE
292.224.87,,TRUE
392.225.33,,TRUE
492.826.30,,TRUE
092.826.70,,TRUE
092.225.63,,TRUE
192.825.75,,TRUE
692.225.60,,TRUE
002.528.80,,FALSE
303.534.96,,TRUE
303.535.09,,TRUE
592.824.27,,TRUE
703.662.89,,TRUE
003.662.97,,TRUE
703.535.31,,TRUE
503.535.27,,TRUE
302.529.73,,TRUE
102.553.26,,TRUE
502.529.10,,TRUE
902.529.13,,TRUE
702.553.28,,TRUE
592.225.32,,TRUE
102.529.07,,TRUE
004.871.76,,TRUE
502.255.92,,TRUE
702.198.30,,TRUE
102.403.49,,TRUE
805.285.02,,TRUE
804.810.38,,FALSE
604.730.39,,FALSE
902.095.33,,FALSE
701.629.99,,FALSE
890.042.50,,TRUE
290.042.48,,TRUE
491.894.44,,TRUE
393.321.50,,TRUE
590.042.23,,TRUE
901.629.98,,FALSE
003.361.73,,TRUE
204.730.41,,TRUE
104.730.51,,TRUE
192.911.84,,TRUE
104.305.04,,TRUE
603.611.31,,TRUE
603.535.36,,TRUE
703.513.58,,TRUE
104.883.16,,TRUE
802.483.75,,TRUE
102.458.51,,TRUE
902.458.47,,TRUE
402.955.33,,TRUE
290.478.27,,FALSE
491.874.59,,TRUE
193.017.72,,TRUE
202.945.20,,TRUE
892.991.86,,TRUE
192.991.37,,TRUE
291.848.95,,TRUE
302.458.45,,TRUE
202.998.91,,TRUE
602.948.58,,TRUE
103.513.61,,TRUE
091.874.75,,TRUE
503.526.84,,TRUE
703.526.83,,TRUE
602.612.59,,TRUE
504.883.19,,TRUE
402.198.98,,TRUE
802.172.27,,TRUE
702.198.92,,TRUE
505.252.70,,TRUE
905.252.73 (003.515.59),,FALSE
794.772.83,,FALSE
292.874.31,,FALSE
092.810.67,,TRUE
592.817.91,,TRUE
392.177.15,,FALSE
891.845.24,,TRUE
091.844.86,,TRUE
094.772.86,,FALSE
792.874.43,,FALSE
694.837.60,,TRUE
094.837.44,,TRUE
894.837.21,,TRUE
694.837.22,,FALSE
092.874.08,,TRUE
194.836.30,,TRUE
392.818.05,,TRUE
094.836.35,,TRUE
192.177.35,,FALSE
804.156.04,,TRUE
792.874.19,,TRUE
492.817.77,,TRUE
191.845.08,,FALSE
305.220.41 (403.515.43),,FALSE
603.515.42,,TRUE
705.220.44,,TRUE
391.845.12,,FALSE
691.845.20,,FALSE
103.515.68,,TRUE
791.844.78,,FALSE
601.819.55,,TRUE
902.867.53,,TRUE
304.042.74,,FALSE
503.515.85,,FALSE
205.252.76,,TRUE
204.042.79,,FALSE
694.837.55,,TRUE
194.837.29,,TRUE
494.837.56,,TRUE
994.837.30,,TRUE
294.837.57,,TRUE
094.837.82,,TRUE
404.773.83,,TRUE
104.773.89,,TRUE
305.278.64,,TRUE
204.927.75,,TRUE
204.927.80,,TRUE
604.927.83,,TRUE
991.844.82,,TRUE
704.774.28,,TRUE
304.774.30,,TRUE
704.928.34,,TRUE
605.252.79 (003.515.64),,FALSE
004.542.32,,TRUE
804.556.52,,TRUE
902.427.40,,FALSE
692.475.65,,TRUE
404.535.13,,TRUE
504.535.17,,TRUE
804.535.49,,TRUE
402.737.29,,TRUE
102.737.40,,TRUE
502.737.43,,TRUE
302.737.44,,TRUE
202.737.49,,TRUE
902.737.41,,TRUE
202.737.30,,TRUE
402.737.34,,TRUE
002.737.45,,TRUE
805.404.48,,TRUE
401.654.66,,TRUE
391.981.61,,TRUE
503.543.53,,FALSE
003.540.63,,TRUE
103.516.86,,TRUE
103.516.86-1,,FALSE
103.516.86-2,,FALSE
403.516.99,,TRUE
403.515.00,,TRUE
003.518.61,,TRUE
103.554.15,,TRUE
303.554.19,,TRUE
305.036.55,,TRUE
102.904.57,,FALSE
903.554.21,,TRUE
304.098.89,,FALSE
402.287.13,,TRUE
002.759.28,,TRUE
191.981.43,,TRUE
292.782.38,,TRUE
903.377.00,,TRUE
504.098.93,,TRUE
204.004.79,,TRUE
104.079.28,,TRUE
104.079.28-2,,FALSE
104.079.28-3,,TRUE
104.079.28-1,,FALSE
891.981.68,,TRUE
803.543.56,,FALSE
291.981.52,,TRUE
294.264.27,,TRUE
603.340.05,,TRUE
192.726.42,,TRUE
103.399.01,,FALSE
703.399.03,,FALSE
905.108.27,,TRUE
803.528.85,,FALSE
002.676.07,,TRUE
604.803.94,,TRUE
104.397.74,,FALSE
903.362.39,,FALSE
504.429.63,,FALSE
003.525.73,,TRUE
803.384.27,,TRUE
502.996.15,,FALSE
